epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.467,1.00151,2.70073,1.37443,0.44328,0.43099,0.403,0.27528,1.09824,2.11326,1.49641,0.000331811,0.000331811,0.000331811
2,99.6067,1.0625,2.00413,1.41919,0.42876,0.39332,0.3247,0.224,1.20959,2.47848,1.61561,0.00065856,0.00065856,0.00065856
3,145.055,1.065,1.8797,1.41891,0.4359,0.4019,0.36924,0.22387,1.32133,2.253,1.69208,0.000978708,0.000978708,0.000978708
4,189.878,1.0692,1.74983,1.42858,0.51336,0.43136,0.41546,0.27312,1.20662,1.94079,1.62502,0.0009703,0.0009703,0.0009703
5,234.608,1.06601,1.6775,1.42359,0.50628,0.45048,0.44429,0.30765,1.13974,1.85823,1.5694,0.0009604,0.0009604,0.0009604
6,279.441,1.01771,1.55814,1.39284,0.57384,0.53338,0.51088,0.35949,1.06821,1.85814,1.46187,0.0009505,0.0009505,0.0009505
7,324.231,1.02122,1.51041,1.39163,0.56654,0.54384,0.52346,0.35974,1.04494,1.57934,1.44815,0.0009406,0.0009406,0.0009406
8,369.049,0.9755,1.42978,1.35966,0.53139,0.45307,0.43376,0.26244,1.26678,2.03881,1.61882,0.0009307,0.0009307,0.0009307
9,414.025,0.9657,1.39145,1.34884,0.61218,0.48763,0.529,0.3618,1.10099,1.63423,1.47484,0.0009208,0.0009208,0.0009208
10,458.645,0.96945,1.39508,1.35256,0.64478,0.55806,0.6038,0.44676,0.99312,1.3777,1.38428,0.0009109,0.0009109,0.0009109
11,503.245,0.96413,1.34605,1.33901,0.67035,0.55404,0.62302,0.45246,0.979,1.28645,1.36046,0.000901,0.000901,0.000901
12,547.859,0.93329,1.27327,1.33394,0.67913,0.62474,0.65787,0.47024,0.99235,1.29276,1.38638,0.0008911,0.0008911,0.0008911
13,592.197,0.91889,1.2656,1.32656,0.7249,0.57234,0.66482,0.48486,0.96325,1.19346,1.3592,0.0008812,0.0008812,0.0008812
14,636.5,0.914,1.21481,1.3202,0.65702,0.59193,0.64972,0.47673,0.95734,1.27653,1.35425,0.0008713,0.0008713,0.0008713
15,680.805,0.91696,1.23108,1.31026,0.70925,0.55391,0.66269,0.49323,0.93373,1.31575,1.33467,0.0008614,0.0008614,0.0008614
16,725.244,0.9055,1.20471,1.31217,0.68316,0.59515,0.67722,0.50105,0.92269,1.12536,1.31633,0.0008515,0.0008515,0.0008515
17,769.782,0.89917,1.20191,1.30567,0.71575,0.59143,0.66543,0.49482,0.92599,1.20686,1.32223,0.0008416,0.0008416,0.0008416
18,814.153,0.89323,1.16912,1.30601,0.71042,0.601,0.68163,0.50498,0.92774,1.23028,1.30934,0.0008317,0.0008317,0.0008317
19,858.265,0.90002,1.14004,1.30053,0.74585,0.64016,0.71108,0.52382,0.91199,1.08996,1.30058,0.0008218,0.0008218,0.0008218
20,902.819,0.89006,1.11475,1.29438,0.71177,0.56574,0.65405,0.48404,0.92573,1.27352,1.30445,0.0008119,0.0008119,0.0008119
21,946.966,0.8827,1.09655,1.28295,0.6932,0.61822,0.68226,0.51011,0.91166,1.13691,1.29563,0.000802,0.000802,0.000802
22,991.274,0.86778,1.08651,1.27195,0.76985,0.64273,0.73257,0.54537,0.89244,1.02364,1.29217,0.0007921,0.0007921,0.0007921
23,1035.81,0.86691,1.06364,1.28017,0.71434,0.66406,0.70767,0.53487,0.89386,1.06145,1.27086,0.0007822,0.0007822,0.0007822
24,1080.1,0.85131,1.05916,1.27123,0.75905,0.61542,0.72981,0.53998,0.88573,1.02457,1.28055,0.0007723,0.0007723,0.0007723
25,1124.5,0.85726,1.04956,1.26349,0.77646,0.6324,0.75397,0.5633,0.88747,0.99354,1.27694,0.0007624,0.0007624,0.0007624
26,1168.79,0.86671,1.01621,1.27323,0.7546,0.66752,0.75254,0.56152,0.88958,0.97485,1.27785,0.0007525,0.0007525,0.0007525
27,1213.06,0.84727,1.00979,1.25848,0.73507,0.67103,0.74196,0.56261,0.85687,0.97942,1.25087,0.0007426,0.0007426,0.0007426
28,1257.22,0.84978,1.00423,1.25568,0.77619,0.62267,0.73333,0.5505,0.87912,1.01023,1.2566,0.0007327,0.0007327,0.0007327
