epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6723,0.97611,2.48837,1.25751,0.42906,0.44269,0.38268,0.27108,1.02201,2.05517,1.24583,0.000330303,0.000330303,0.000330303
2,56.3442,1.00559,1.68669,1.2711,0.44136,0.44401,0.42454,0.2974,1.1225,2.09075,1.32708,0.000650496,0.000650496,0.000650496
3,81.5852,1.01434,1.59424,1.26493,0.49697,0.46475,0.45432,0.30818,1.19068,1.95765,1.41094,0.00095749,0.00095749,0.00095749
4,106.615,1.03466,1.57527,1.28275,0.54587,0.43026,0.45487,0.31744,1.11892,1.91163,1.2984,0.0009406,0.0009406,0.0009406
5,131.754,1.01277,1.49322,1.2636,0.47331,0.40495,0.40746,0.28946,1.11352,1.94757,1.34085,0.0009208,0.0009208,0.0009208
6,155.953,0.97836,1.40567,1.25753,0.57923,0.50745,0.53826,0.38156,1.04086,1.4791,1.26364,0.000901,0.000901,0.000901
7,180.612,0.97431,1.35975,1.2437,0.616,0.5254,0.55627,0.38652,1.05289,1.73495,1.2682,0.0008812,0.0008812,0.0008812
8,205.686,0.97755,1.30754,1.24118,0.53692,0.53842,0.50618,0.34858,1.05099,1.61015,1.265,0.0008614,0.0008614,0.0008614
9,230.863,0.95488,1.23336,1.22948,0.69987,0.56557,0.62651,0.45917,1.01675,1.40421,1.24228,0.0008416,0.0008416,0.0008416
10,255.656,0.9155,1.21398,1.21477,0.67954,0.59906,0.66771,0.49008,0.9593,1.25215,1.19486,0.0008218,0.0008218,0.0008218
11,280.477,0.92056,1.16976,1.20677,0.6629,0.58386,0.64116,0.47408,0.91799,1.25613,1.17311,0.000802,0.000802,0.000802
12,305.071,0.90096,1.14336,1.20592,0.69517,0.6352,0.68452,0.50135,0.9632,1.15531,1.1965,0.0007822,0.0007822,0.0007822
13,329.815,0.91101,1.09578,1.20253,0.72734,0.65234,0.71356,0.52843,0.93258,1.10074,1.17514,0.0007624,0.0007624,0.0007624
14,354.752,0.90815,1.09828,1.1993,0.70247,0.63656,0.69585,0.52247,0.92879,1.12073,1.17234,0.0007426,0.0007426,0.0007426
15,379.936,0.88688,1.08192,1.18446,0.69107,0.56883,0.6465,0.47229,0.94597,1.2536,1.18091,0.0007228,0.0007228,0.0007228
16,404.721,0.88059,1.04136,1.18542,0.79257,0.64952,0.74964,0.56389,0.89198,1.01583,1.1444,0.000703,0.000703,0.000703
17,430.276,0.87393,1.02574,1.18002,0.75394,0.64814,0.72048,0.54013,0.89654,1.06806,1.14271,0.0006832,0.0006832,0.0006832
18,455.65,0.86084,1.0083,1.18063,0.71566,0.61578,0.68228,0.50885,0.93211,1.19561,1.16275,0.0006634,0.0006634,0.0006634
19,480.722,0.86462,0.98142,1.1761,0.77827,0.65172,0.73731,0.56172,0.88576,1.03516,1.12405,0.0006436,0.0006436,0.0006436
20,505.999,0.84823,0.95551,1.16112,0.7705,0.65799,0.73986,0.56884,0.85625,1.01728,1.11369,0.0006238,0.0006238,0.0006238
21,531.638,0.84543,0.95206,1.15718,0.76032,0.6547,0.71892,0.54709,0.86717,1.03862,1.12314,0.000604,0.000604,0.000604
22,557.384,0.84187,0.92967,1.15616,0.73837,0.67741,0.75421,0.58092,0.85325,0.99172,1.11995,0.0005842,0.0005842,0.0005842
23,583.622,0.85258,0.92898,1.16676,0.74224,0.66392,0.74634,0.56579,0.86537,1.00812,1.11457,0.0005644,0.0005644,0.0005644
24,608.785,0.82702,0.92008,1.15827,0.75973,0.65757,0.72582,0.54847,0.86761,1.04611,1.12644,0.0005446,0.0005446,0.0005446
25,634.779,0.81762,0.89616,1.14645,0.75402,0.67407,0.76198,0.58155,0.85311,0.98543,1.10758,0.0005248,0.0005248,0.0005248
26,659.385,0.79407,0.87919,1.13846,0.70118,0.69572,0.73173,0.55601,0.8515,0.99887,1.11393,0.000505,0.000505,0.000505
27,684.235,0.7918,0.84125,1.13143,0.76783,0.6885,0.76586,0.58784,0.84727,0.92914,1.10388,0.0004852,0.0004852,0.0004852
28,709.242,0.80787,0.85651,1.1407,0.8043,0.68051,0.7749,0.59653,0.84569,0.92455,1.09873,0.0004654,0.0004654,0.0004654
29,733.862,0.80394,0.83889,1.13556,0.77552,0.68513,0.75983,0.58851,0.84705,0.91648,1.11404,0.0004456,0.0004456,0.0004456
30,758.453,0.78715,0.82163,1.12515,0.81507,0.69646,0.79842,0.62371,0.81936,0.89855,1.08385,0.0004258,0.0004258,0.0004258
31,783.164,0.78281,0.80125,1.1251,0.80037,0.70543,0.78074,0.60925,0.81916,0.90676,1.08292,0.000406,0.000406,0.000406
32,807.89,0.79052,0.80225,1.13343,0.80894,0.71147,0.79708,0.6202,0.83955,0.86811,1.0974,0.0003862,0.0003862,0.0003862
33,831.901,0.77331,0.78809,1.11754,0.79771,0.72093,0.79743,0.62204,0.8128,0.8593,1.07401,0.0003664,0.0003664,0.0003664
34,856.4,0.76371,0.78592,1.11642,0.81634,0.68447,0.78701,0.61201,0.81693,0.87681,1.08697,0.0003466,0.0003466,0.0003466
35,880.84,0.7753,0.76127,1.11891,0.80139,0.70989,0.80038,0.63053,0.79709,0.82301,1.06702,0.0003268,0.0003268,0.0003268
36,905.611,0.77023,0.74427,1.1147,0.80704,0.72839,0.81481,0.63506,0.80915,0.82274,1.07087,0.000307,0.000307,0.000307
37,929.968,0.74248,0.73534,1.10287,0.81036,0.70402,0.80241,0.62665,0.80879,0.85065,1.07163,0.0002872,0.0002872,0.0002872
38,954.217,0.75256,0.72587,1.10377,0.85267,0.71728,0.81782,0.64037,0.80328,0.813,1.07516,0.0002674,0.0002674,0.0002674
39,978.549,0.73538,0.71988,1.10153,0.83403,0.73397,0.81809,0.64314,0.80396,0.81804,1.07422,0.0002476,0.0002476,0.0002476
40,1002.81,0.75108,0.71557,1.10435,0.81168,0.71544,0.80978,0.63842,0.79079,0.83355,1.06038,0.0002278,0.0002278,0.0002278
41,1027.14,0.69527,0.628,1.06059,0.83241,0.71825,0.81362,0.64542,0.78264,0.78808,1.05724,0.000208,0.000208,0.000208
42,1050.77,0.69078,0.60194,1.06119,0.81062,0.734,0.81717,0.64464,0.77863,0.80709,1.05226,0.0001882,0.0001882,0.0001882
43,1073.65,0.67456,0.59465,1.05574,0.82468,0.72662,0.81666,0.64586,0.77714,0.80584,1.05426,0.0001684,0.0001684,0.0001684
44,1096.97,0.6675,0.5648,1.04895,0.81058,0.7455,0.82077,0.65355,0.77283,0.78795,1.04809,0.0001486,0.0001486,0.0001486
45,1120.2,0.66912,0.55861,1.04605,0.84404,0.71002,0.81935,0.64666,0.78046,0.78776,1.05455,0.0001288,0.0001288,0.0001288
