epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5266,1.00151,2.70073,1.37443,0.44328,0.43099,0.403,0.27528,1.09824,2.11326,1.49641,0.000331811,0.000331811,0.000331811
2,99.3094,1.05985,1.99306,1.41929,0.42932,0.41366,0.34448,0.21704,1.21351,2.20314,1.62259,0.000643195,0.000643195,0.000643195
3,144.105,1.05429,1.83618,1.40373,0.35676,0.37839,0.27739,0.16839,1.2623,2.35926,1.63953,0.000932578,0.000932578,0.000932578
4,188.531,1.05114,1.73051,1.40899,0.60228,0.49856,0.5367,0.36591,1.11747,1.5941,1.51192,0.000901,0.000901,0.000901
5,232.965,1.04203,1.61006,1.39569,0.58756,0.5485,0.54161,0.36697,1.08099,1.6512,1.46779,0.000868,0.000868,0.000868
6,277.564,1.00171,1.51157,1.37434,0.58066,0.53266,0.51226,0.36627,1.07084,1.86165,1.44551,0.000835,0.000835,0.000835
7,322.001,0.99248,1.47206,1.36575,0.61421,0.54884,0.56424,0.40101,1.00447,1.60017,1.38753,0.000802,0.000802,0.000802
8,366.612,0.94902,1.38715,1.33438,0.59407,0.53494,0.55122,0.3823,1.06476,1.68465,1.44852,0.000769,0.000769,0.000769
9,411.036,0.94589,1.34619,1.33019,0.66311,0.56841,0.62485,0.4479,0.99573,1.38041,1.36075,0.000736,0.000736,0.000736
10,455.265,0.93562,1.302,1.32468,0.64264,0.59545,0.64134,0.46598,0.96513,1.35087,1.36347,0.000703,0.000703,0.000703
11,499.577,0.91659,1.25248,1.30277,0.67084,0.62398,0.68038,0.48651,0.97371,1.18237,1.34949,0.00067,0.00067,0.00067
12,543.865,0.89425,1.19153,1.29927,0.66458,0.61892,0.65055,0.47068,0.97509,1.3101,1.36403,0.000637,0.000637,0.000637
13,587.798,0.8821,1.17998,1.29421,0.66781,0.63261,0.68483,0.50856,0.92044,1.12244,1.30492,0.000604,0.000604,0.000604
14,632.077,0.87501,1.14382,1.2888,0.70711,0.62696,0.68463,0.51047,0.90073,1.12301,1.29738,0.000571,0.000571,0.000571
15,676.285,0.87208,1.11642,1.2749,0.74238,0.59667,0.6901,0.52117,0.8768,1.14955,1.26551,0.000538,0.000538,0.000538
16,720.516,0.85559,1.08649,1.27564,0.72186,0.61547,0.69423,0.51973,0.889,1.13062,1.26464,0.000505,0.000505,0.000505
17,764.733,0.8418,1.07144,1.2614,0.74705,0.64108,0.71311,0.53524,0.87771,1.09595,1.27034,0.000472,0.000472,0.000472
18,808.726,0.83913,1.03667,1.26309,0.73143,0.66257,0.73193,0.55622,0.86373,1.03607,1.25446,0.000439,0.000439,0.000439
19,853.017,0.83862,1.01873,1.25573,0.77205,0.64366,0.7469,0.56438,0.83982,0.98735,1.21796,0.000406,0.000406,0.000406
20,897.072,0.82357,0.97774,1.23983,0.77389,0.6817,0.7652,0.58848,0.83105,0.92053,1.21816,0.000373,0.000373,0.000373
21,941.865,0.77762,0.93748,1.23705,0.74028,0.68031,0.75195,0.56777,0.83211,0.96085,1.22092,0.00034,0.00034,0.00034
22,985.539,0.76036,0.85766,1.21949,0.75771,0.68464,0.75877,0.5786,0.82736,0.97796,1.20016,0.000307,0.000307,0.000307
23,1029.16,0.74987,0.81981,1.21509,0.78664,0.68351,0.77759,0.59749,0.81276,0.89125,1.19263,0.000274,0.000274,0.000274
24,1072.69,0.7218,0.76581,1.18475,0.77037,0.68474,0.77354,0.60034,0.79823,0.93244,1.17806,0.000241,0.000241,0.000241
25,1116.39,0.72514,0.74935,1.18592,0.81022,0.69761,0.79725,0.62509,0.78807,0.84548,1.17389,0.000208,0.000208,0.000208
26,1160.05,0.7044,0.72672,1.17463,0.7831,0.68411,0.76827,0.59379,0.78873,0.91292,1.16125,0.000175,0.000175,0.000175
27,1203.57,0.69289,0.70012,1.16776,0.77751,0.69807,0.78312,0.61628,0.77855,0.87197,1.16518,0.000142,0.000142,0.000142
28,1247.28,0.69516,0.67216,1.16759,0.76281,0.71514,0.77822,0.61148,0.76963,0.85283,1.1569,0.000109,0.000109,0.000109
29,1290.82,0.67478,0.63869,1.15006,0.77045,0.71438,0.77187,0.6051,0.76636,0.87818,1.14863,7.6e-05,7.6e-05,7.6e-05
30,1334.26,0.67031,0.62336,1.13646,0.81132,0.70497,0.79685,0.62957,0.75648,0.83057,1.13919,4.3e-05,4.3e-05,4.3e-05
